algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.0989,9558,8
MergeSort,sorted,1000,0.0409,4236,8
MergeSort,duplicates,1000,0.0697,9191,8
QuickSort,random,1000,0.1877,16761,6
QuickSort,sorted,1000,0.0527,16423,6
QuickSort,duplicates,1000,0.0128,4760,3
QuickSelect,random,1000,0.0107,3458,1
QuickSelect,sorted,1000,0.005,4936,1
QuickSelect,duplicates,1000,0.0115,4316,1
MergeSort,random,10000,1.6864,127140,11
MergeSort,sorted,10000,0.9124,59248,11
MergeSort,duplicates,10000,1.7464,121266,11
QuickSort,random,10000,0.7662,260004,9
QuickSort,sorted,10000,0.387,235883,8
QuickSort,duplicates,10000,0.1478,54970,3
QuickSelect,random,10000,0.137,60287,1
QuickSelect,sorted,10000,0.061,67283,1
QuickSelect,duplicates,10000,0.1042,30165,1
MergeSort,random,100000,7.4165,1639809,14
MergeSort,sorted,100000,1.903,744016,14
MergeSort,duplicates,100000,3.7312,1562182,14
QuickSort,random,100000,7.0855,3270106,10
QuickSort,sorted,100000,3.602,3241617,11
QuickSort,duplicates,100000,1.1182,670795,2
QuickSelect,random,100000,0.8865,497002,1
QuickSelect,sorted,100000,0.2054,528023,1
QuickSelect,duplicates,100000,0.668,670397,1
MergeSort,random,1000000,89.4045,19887347,18
MergeSort,sorted,1000000,23.638,9071040,18
MergeSort,duplicates,1000000,41.6531,18924205,18
QuickSort,random,1000000,83.8754,38310193,12
QuickSort,sorted,1000000,40.0805,37160323,13
QuickSort,duplicates,1000000,10.9693,7101427,2
QuickSelect,random,1000000,9.5059,4553180,1
QuickSelect,sorted,1000000,2.6966,3102435,1
QuickSelect,duplicates,1000000,8.2933,2200269,1
